Revenue by Subsciption Plan,,,,,,
,,,,,,
subscription_plan,SUM of monthly_spend,AVERAGE of monthly_spend,,,,
BASIC,"19,588.29",19.47,,,,
PREMIUM,"38,069.94",21.13,,,,
PREMIUM+,"10,333.52",20.03,,,,
STANDARD,"36,869.50",21.69,,,,
Grand Total,"104,861.25",20.87,,,,
,,,,,,
,,,,,,
Active Rate (Retention Insights),,,,,,
,,,,,,
COUNTA of is_active,is_active,,,,,
subscription_plan,FALSE,TRUE,Grand Total,,,
BASIC,14.71%,85.29%,100.00%,,,
PREMIUM,16.15%,83.85%,100.00%,,,
PREMIUM+,12.98%,87.02%,100.00%,,,
STANDARD,14.41%,85.59%,100.00%,,,
Grand Total,14.95%,85.05%,100.00%,,,
,,,,,,
,,,,,,
Average Watch Time by Device,,,,,,
,,,,,,
device_type,AVERAGE of watch_duration_minutes,AVERAGE of progress_percentage,,,,
Desktop,69.29,50.95851272,,,,
Laptop,67.57,49.49389866,,,,
Mobile,63.44,49.5880597,,,,
Smart Tv,65.01,49.02845528,,,,
Tablet,70.09,50.65315488,,,,
Grand Total,67.12,49.96086783,,,,
,,,,,,
,,,,,,
Revenue & Engagement by Country,,,,,,
,,,,,,
country,SUM of monthly_spend,AVERAGE of watch_duration_minutes,COUNTA of is_active,,,
Canada,"27,789.78",66.69,1433,,,
USA,"77,071.47",67.29,3591,,,
Grand Total,"104,861.25",67.12,5024,,,
,,,,,,
,,,,,,
Engagement by Content Type,,,,,,
,,,,,,
content_type,AVERAGE of watch_duration_minutes,AVERAGE of imdb_rating,COUNTA of watch_date,,,
Documentary,72.94,6.2,752,,,
Limited Series,71.70,6.2,238,,,
Movie,66.54,6.3,2243,,,
Stand-up Comedy,63.40,5.9,572,,,
TV Series,65.44,6.4,1219,,,
Grand Total,67.12,6.3,5024,,,
,,,,,,
,,,,,,
Genre vs Engagement,,,,,,
,,,,,,
genre_primary,AVERAGE of progress_percentage,AVERAGE of watch_duration_minutes,COUNTA of watch_date,,,
Action,50.92680412,68.39,291,,,
Adventure,50.09176136,67.18,352,,,
Animation,50.02211221,66.45,303,,,
Biography,50.33565574,72.87,244,,,
Comedy,48.1365942,63.29,276,,,
Crime,49.99090909,63.15,264,,,
Documentary,49.12122449,69.52,245,,,
Drama,50.49837398,64.16,246,,,
Family,51.3544186,70.37,215,,,
Fantasy,47.52008547,65.26,234,,,
History,50.19097222,65.20,288,,,
Horror,50.97809524,68.74,210,,,
Music,53.25052632,70.25,190,,,
Mystery,49.35965909,71.21,176,,,
Romance,50.95440613,74.17,261,,,
Sci-Fi,46.4772,57.73,250,,,
Sport,50.85638298,64.66,188,,,
Thriller,52.90526316,74.05,190,,,
War,50.73733766,64.96,308,,,
Western,47.39761092,65.79,293,,,
Grand Total,49.96086783,67.12,5024,,,
,,,,,,
,,,,,,
Netflix Originals Impact ,,,,,,
,,,,,,
is_netflix_original,AVERAGE of watch_duration_minutes,AVERAGE of imdb_rating,AVERAGE of monthly_spend,,,
FALSE,67.14,6.2,20.98,,,
TRUE,67.07,6.3,20.63,,,
Grand Total,67.12,6.3,20.87,,,
,,,,,,
,,,,,,
Age Group Segmentation,,,,,,
,,,,,,
COUNTA of is_active,content_type,,,,,
age-group,Documentary,Limited Series,Movie,Stand-up Comedy,TV Series,Grand Total
18-25,109,40,347,92,222,810
26-35,243,69,731,193,408,1644
36-50,314,103,907,218,477,2019
50+,86,26,258,69,112,551
Grand Total,752,238,2243,572,1219,5024
,,,,,,
,,,,,,
Churn Analysis,,,,,,
,,,,,,
is_active,AVERAGE of watch_duration_minutes,AVERAGE of progress_percentage,AVERAGE of monthly_spend,,,
FALSE,63.40,51.54806924,19.73,,,
TRUE,67.77,49.68190967,21.07,,,
Grand Total,67.12,49.96086783,20.87,,,
,,,,,,
,,,,,,
Household Spending Power,,,,,,
,,,,,,
household_size,AVERAGE of monthly_spend,AVERAGE of watch_duration_minutes,,,,
1,22.36,66.65,,,,
2,18.99,67.80,,,,
3,25.35,64.92,,,,
4,19.99,65.86,,,,
5,17.84,69.26,,,,
6,20.71,67.03,,,,
7,15.42,81.46,,,,
8,36.70,65.86,,,,
Grand Total,20.87,67.12,,,,
