watch_date,device_type,watch_duration_minutes,progress_percentage,action,age,gender,country,subscription_plan,is_active,monthly_spend,household_size,content_type,genre_primary,release_year,duration_minutes,rating,maturity_level,language,country_of_origin,imdb_rating,is_netflix_original
1/17/2024,Laptop,53.40,1,paused,32,Male,Canada,PREMIUM+,TRUE,25.01,2,Documentary,Action,"2,012",75,PG-13,Teens,Spanish,South Korea,8.1,FALSE
2/28/2025,Desktop,27.10,55.6,paused,41,Male,Canada,STANDARD,FALSE,1.65,4,Movie,Adventure,"1,956",123,PG,Family,English,Canada,8.1,FALSE
7/12/2024,Smart Tv,23.70,74.3,stopped,65,Male,Canada,STANDARD,FALSE,10.87,6,Stand-up Comedy,Music,"2,013",42,G,Kids,English,USA,8.8,TRUE
7/15/2024,Tablet,358.90,6.3,completed,94,Female,USA,PREMIUM,TRUE,2.34,2,TV Series,Western,"2,019",42,TV-MA,Adult,English,USA,5.4,FALSE
8/25/2025,Laptop,78.60,19.2,stopped,19,Female,USA,STANDARD,TRUE,13.02,2,TV Series,Adventure,"2,006",45,G,Kids,French,South Korea,6.2,FALSE
3/25/2025,Laptop,55.10,87.9,stopped,38,Male,USA,BASIC,FALSE,27.40,2,Movie,Mystery,"2,007",94,TV-14,Teens,English,USA,6.9,FALSE
12/13/2024,Smart Tv,5.40,20,stopped,31,Other,USA,PREMIUM+,TRUE,13.38,2,Documentary,Animation,"1,994",115,TV-PG,Family,Japanese,South Korea,5.8,FALSE
11/3/2025,Desktop,107.70,49.4,paused,35,Female,USA,BASIC,TRUE,7.02,1,Movie,Comedy,"2,024",117,TV-Y7,Kids,Spanish,USA,6.3,FALSE
5/13/2024,Laptop,96.70,80.2,completed,37,Male,USA,STANDARD,TRUE,9.05,4,TV Series,History,"2,021",17,TV-Y,Kids,English,USA,5.1,TRUE
5/19/2024,Tablet,189.90,54.7,completed,33,Male,USA,PREMIUM,TRUE,21.66,2,TV Series,Western,"2,019",42,TV-MA,Adult,English,USA,5.4,FALSE
9/20/2024,Desktop,30.10,85,completed,28,Male,USA,STANDARD,TRUE,14.90,3,Movie,Comedy,"2,021",102,NC-17,Adult,English,Canada,7.1,TRUE
6/23/2025,Mobile,30.90,18.8,paused,48,Other,Canada,STANDARD,TRUE,7.61,2,TV Series,War,"2,018",26,TV-14,Teens,English,USA,6.4,TRUE
9/3/2025,Mobile,41.00,79.4,paused,55,Male,USA,STANDARD,TRUE,11.72,2,TV Series,Adventure,"2,017",62,TV-Y7,Kids,English,Canada,6.5,FALSE
1/11/2024,Tablet,80.70,30,completed,45,Female,USA,PREMIUM+,TRUE,22.28,3,Movie,Animation,"2,007",148,NC-17,Adult,Spanish,USA,7.8,TRUE
9/28/2024,Mobile,71.90,86.5,stopped,48,Female,Canada,PREMIUM,TRUE,9.81,1,TV Series,Drama,"2,021",73,R,Adult,Japanese,USA,6.5,FALSE
11/13/2025,Laptop,97.30,81.8,paused,27,Male,USA,STANDARD,TRUE,9.12,2,Stand-up Comedy,Adventure,"1,991",74,TV-MA,Adult,Italian,UK,7.7,FALSE
8/17/2025,Desktop,14.20,81.5,stopped,24,Female,USA,BASIC,TRUE,17.87,2,Documentary,Adventure,"1,999",104,TV-MA,Adult,Japanese,USA,8.2,TRUE
8/11/2024,Desktop,59.10,93.5,stopped,39,Female,USA,BASIC,TRUE,0.98,1,Stand-up Comedy,Music,"2,008",43,R,Adult,English,Canada,7.8,FALSE
12/11/2025,Tablet,6.70,89.6,completed,70,Male,USA,PREMIUM+,TRUE,19.46,3,Movie,Comedy,"1,997",147,TV-MA,Adult,Italian,USA,6.9,TRUE
3/26/2025,Laptop,46.70,53.1,stopped,32,Female,USA,STANDARD,TRUE,18.38,4,Stand-up Comedy,Western,"2,012",60,PG-13,Teens,English,South Korea,7.0,TRUE
1/17/2025,Desktop,47.90,94.7,started,39,Female,USA,PREMIUM+,TRUE,14.13,3,Movie,Animation,"1,997",101,R,Adult,English,South Korea,5.5,FALSE
5/16/2024,Laptop,25.50,0.6,started,37,Female,Canada,PREMIUM,TRUE,13.14,1,Movie,Documentary,"2,014",89,TV-Y,Kids,English,USA,7.8,FALSE
5/15/2024,Laptop,39.90,25.2,paused,50,Female,USA,PREMIUM,FALSE,6.93,2,Movie,Comedy,"2,021",127,PG,Family,Korean,Canada,6.1,FALSE
5/12/2025,Smart Tv,26.80,32.9,started,35,Male,USA,PREMIUM,TRUE,17.30,1,Movie,Drama,"1,998",133,NC-17,Adult,French,USA,7.8,FALSE
4/11/2024,Desktop,55.70,22.4,stopped,33,Male,USA,PREMIUM,TRUE,21.66,2,Movie,Biography,"2,008",90,TV-14,Teens,English,India,5.4,TRUE
7/31/2024,Desktop,14.40,99.1,paused,42,Male,USA,PREMIUM,TRUE,9.84,6,Movie,Biography,"2,001",103,TV-Y7,Kids,English,USA,7.4,FALSE
1/21/2024,Mobile,27.60,75.7,stopped,35,Female,USA,PREMIUM,TRUE,14.05,2,Movie,Crime,"1,995",116,R,Adult,English,USA,1.7,TRUE
5/11/2024,Laptop,32.70,62.1,completed,48,Male,USA,PREMIUM,TRUE,7.90,1,Movie,Sci-Fi,"2,003",125,TV-MA,Adult,Spanish,USA,7.4,FALSE
11/18/2024,Desktop,32.30,66,paused,25,Male,Canada,PREMIUM,FALSE,32.16,3,TV Series,Crime,"1,965",77,PG-13,Teens,English,France,6.5,FALSE
4/13/2025,Smart Tv,13.70,93.3,stopped,30,Male,Canada,BASIC,TRUE,17.70,5,Movie,History,"2,001",109,PG-13,Teens,English,Japan,6.6,TRUE
8/1/2025,Desktop,47.60,5.8,completed,48,Male,Canada,PREMIUM+,TRUE,21.51,2,TV Series,Sport,"2,007",48,TV-PG,Family,Hindi,USA,4.9,TRUE
11/11/2025,Mobile,11.00,99.3,started,35,Female,USA,PREMIUM+,TRUE,41.10,5,TV Series,War,"1,998",48,TV-MA,Adult,English,Japan,6.0,FALSE
9/6/2024,Mobile,3.00,41.6,started,45,Male,Canada,PREMIUM+,TRUE,21.69,2,Movie,Documentary,"1,998",114,PG,Family,English,Germany,6.8,TRUE
5/17/2024,Tablet,35.20,37.3,paused,43,Female,USA,PREMIUM,TRUE,18.57,3,Movie,Western,"2,018",95,TV-PG,Family,French,Canada,6.1,TRUE
4/22/2025,Smart Tv,125.40,28.3,stopped,51,Female,Canada,STANDARD,TRUE,19.87,2,Movie,Comedy,"2,018",73,TV-Y,Kids,English,USA,6.7,TRUE
1/19/2024,Laptop,75.70,47.2,started,45,Other,Canada,BASIC,TRUE,13.81,2,Limited Series,Fantasy,"2,013",69,TV-14,Teens,English,USA,6.0,TRUE
1/14/2025,Laptop,116.40,22.5,completed,30,Male,Canada,BASIC,TRUE,10.78,4,Movie,Adventure,"1,997",137,TV-Y,Kids,English,USA,6.2,TRUE
5/5/2025,Desktop,19.70,38.8,started,48,Female,USA,STANDARD,FALSE,17.43,8,TV Series,Animation,"1,998",28,PG-13,Teens,English,France,8.3,TRUE
2/25/2024,Smart Tv,57.90,82.1,stopped,38,Female,USA,BASIC,TRUE,12.45,2,TV Series,Action,"2,003",53,TV-PG,Family,Japanese,Japan,8.6,TRUE
3/10/2024,Mobile,136.50,73.7,completed,27,Prefer Not To Say,Canada,STANDARD,TRUE,4.58,2,Movie,Adventure,"2,014",121,PG-13,Teens,Korean,USA,6.9,TRUE
3/29/2024,Mobile,82.80,28.8,stopped,38,Female,USA,PREMIUM,TRUE,11.24,2,Movie,Crime,"2,004",114,TV-Y7,Kids,English,Canada,6.9,TRUE
1/4/2025,Tablet,52.30,68.1,stopped,33,Female,USA,STANDARD,TRUE,12.33,3,Movie,Western,"2,009",121,PG,Family,English,USA,8.8,FALSE
7/3/2025,Smart Tv,134.60,31.6,started,51,Female,USA,PREMIUM+,TRUE,16.55,2,Documentary,Family,"2,009",101,TV-PG,Family,English,Canada,6.2,FALSE
9/10/2024,Tablet,57.10,80.1,started,38,Male,USA,PREMIUM+,TRUE,23.86,4,Stand-up Comedy,Horror,"1,992",30,NC-17,Adult,English,USA,7.2,FALSE
6/9/2025,Laptop,75.30,75.9,paused,29,Male,USA,STANDARD,TRUE,24.36,2,TV Series,Romance,"2,024",15,TV-MA,Adult,Japanese,USA,5.6,TRUE
11/8/2025,Desktop,121.20,30.5,stopped,34,Male,USA,STANDARD,TRUE,21.33,7,Documentary,Romance,"2,018",62,TV-G,#N/A,Hindi,Germany,8.1,TRUE
9/27/2025,Desktop,3.40,17.2,completed,34,Female,USA,STANDARD,TRUE,4.85,1,TV Series,Animation,"1,990",29,TV-MA,Adult,Spanish,USA,6.6,TRUE
6/3/2024,Mobile,75.30,64.6,started,21,Male,Canada,STANDARD,TRUE,3.26,4,Movie,Thriller,"2,007",128,TV-14,Teens,French,USA,7.5,TRUE
9/27/2025,Desktop,66.00,44.6,completed,37,Female,USA,PREMIUM,TRUE,3.62,3,Movie,Fantasy,"2,000",131,TV-Y7,Kids,English,UK,8.4,TRUE
12/23/2025,Desktop,151.50,25.7,completed,49,Female,USA,BASIC,TRUE,3.51,2,Movie,Thriller,"2,020",105,TV-Y7,Kids,English,Japan,6.9,TRUE
4/13/2025,Mobile,19.10,80.8,stopped,57,Male,USA,STANDARD,FALSE,8.04,2,Documentary,Documentary,"2,014",84,TV-PG,Family,English,France,6.4,FALSE
