watch_date,device_type,watch_duration_minutes,progress_percentage,action,age,gender,country,subscription_plan,is_active,monthly_spend,household_size,content_type,genre_primary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,is_netflix_original
1/17/24,Laptop,53.4,1,paused,32,Male,Canada,Premium+,TRUE,25.01,2,Documentary,Action,2012,75,PG-13,Spanish,South Korea,8.1,FALSE
2/28/25,Desktop,27.1,55.6,paused,41,Male,Canada,Standard,FALSE,1.65,4,Movie,Adventure,1956,123,PG,English,Canada,8.1,FALSE
7/12/24,Smart TV,23.7,74.3,stopped,65,Male,Canada,Standard,FALSE,10.87,6,Stand-up Comedy,Music,2013,42,G,English,USA,8.8,TRUE
7/15/24,Tablet,358.9,6.3,completed,94,Female,USA,Premium,TRUE,2.34,2,TV Series,Western,2019,42,TV-MA,English,USA,5.4,FALSE
8/25/25,Laptop,78.6,19.2,stopped,19,Female,USA,Standard,TRUE,13.02,2,TV Series,Adventure,2006,45,G,French,South Korea,6.2,FALSE
3/25/25,Laptop,55.1,87.9,stopped,38,Male,USA,Basic,FALSE,27.4,2,Movie,Mystery,2007,94,TV-14,English,USA,6.9,FALSE
12/13/24,Smart TV,5.4,20,stopped,31,Other,USA,Premium+,TRUE,13.38,2,Documentary,Animation,1994,115,TV-PG,Japanese,South Korea,5.8,FALSE
11/3/25,Desktop,107.7,49.4,paused,35,Female,USA,Basic,TRUE,7.02,1,Movie,Comedy,2024,117,TV-Y7,Spanish,USA,6.3,FALSE
5/13/24,Laptop,96.7,80.2,completed,37,Male,USA,Standard,TRUE,9.05,4,TV Series,History,2021,17,TV-Y,English,USA,5.1,TRUE
5/19/24,Tablet,189.9,54.7,completed,33,Male,USA,Premium,TRUE,21.66,2,TV Series,Western,2019,42,TV-MA,English,USA,5.4,FALSE
9/20/24,Desktop,30.1,85,completed,28,Male,USA,Standard,TRUE,14.9,3,Movie,Comedy,2021,102,NC-17,English,Canada,7.1,TRUE
6/23/25,Mobile,30.9,18.8,paused,48,Other,Canada,Standard,TRUE,7.61,,TV Series,War,2018,26,TV-14,English,USA,6.4,TRUE
9/3/25,Mobile,41,79.4,paused,55,Male,USA,Standard,TRUE,11.72,,TV Series,Adventure,2017,62,TV-Y7,English,Canada,6.5,FALSE
1/11/24,Tablet,80.7,30,completed,45,Female,USA,Premium+,TRUE,22.28,3,Movie,Animation,2007,148,NC-17,Spanish,USA,7.8,TRUE
9/28/24,Mobile,71.9,86.5,stopped,48,Female,Canada,Premium,TRUE,9.81,1,TV Series,Drama,2021,73,R,Japanese,USA,6.5,FALSE
11/13/25,Laptop,97.3,81.8,paused,27,Male,USA,Standard,TRUE,9.12,,Stand-up Comedy,Adventure,1991,74,TV-MA,Italian,UK,7.7,FALSE
8/17/25,Desktop,14.2,81.5,stopped,24,,USA,Basic,TRUE,17.87,2,Documentary,Adventure,1999,104,TV-MA,Japanese,USA,8.2,TRUE
8/11/24,Desktop,59.1,93.5,stopped,39,,USA,Basic,TRUE,0.98,1,Stand-up Comedy,Music,2008,43,R,English,Canada,7.8,FALSE
12/11/25,Tablet,6.7,89.6,completed,70,Male,USA,Premium+,TRUE,19.46,3,Movie,Comedy,1997,147,TV-MA,Italian,USA,6.9,TRUE
3/26/25,Laptop,46.7,53.1,stopped,32,Female,USA,Standard,TRUE,18.38,4,Stand-up Comedy,Western,2012,60,PG-13,English,South Korea,7,TRUE
1/17/25,Desktop,47.9,94.7,started,39,,USA,Premium+,TRUE,14.13,3,Movie,Animation,1997,101,R,English,South Korea,5.5,FALSE
5/16/24,Laptop,25.5,0.6,started,37,,Canada,Premium,TRUE,13.14,1,Movie,Documentary,2014,89,TV-Y,English,USA,7.8,FALSE
5/15/24,Laptop,39.9,25.2,paused,50,Female,USA,Premium,FALSE,6.93,2,Movie,Comedy,2021,127,PG,Korean,Canada,6.1,FALSE
5/12/25,Smart TV,26.8,32.9,started,35,Male,USA,Premium,TRUE,17.3,1,Movie,Drama,1998,133,NC-17,French,USA,7.8,FALSE
4/11/24,Desktop,55.7,22.4,stopped,33,Male,USA,Premium,TRUE,21.66,2,Movie,Biography,2008,90,TV-14,English,India,5.4,TRUE
7/31/24,Desktop,14.4,99.1,paused,42,Male,USA,Premium,TRUE,9.84,6,Movie,Biography,2001,103,TV-Y7,English,USA,7.4,FALSE
1/21/24,Mobile,27.6,75.7,stopped,35,Female,USA,Premium,TRUE,14.05,,Movie,Crime,1995,116,R,English,USA,1.7,TRUE
5/11/24,Laptop,32.7,62.1,completed,48,Male,USA,Premium,TRUE,7.9,1,Movie,Sci-Fi,2003,125,TV-MA,Spanish,USA,7.4,FALSE
